path,label,group_id
vision/images/Pepper__bell___Bacterial_spot/synth_000.jpg,Pepper__bell___Bacterial_spot,plant_0
vision/images/Pepper__bell___Bacterial_spot/synth_001.jpg,Pepper__bell___Bacterial_spot,plant_0
vision/images/Pepper__bell___Bacterial_spot/synth_002.jpg,Pepper__bell___Bacterial_spot,plant_0
vision/images/Pepper__bell___Bacterial_spot/synth_003.jpg,Pepper__bell___Bacterial_spot,plant_1
vision/images/Pepper__bell___Bacterial_spot/synth_004.jpg,Pepper__bell___Bacterial_spot,plant_1
vision/images/Pepper__bell___Bacterial_spot/synth_005.jpg,Pepper__bell___Bacterial_spot,plant_1
vision/images/Pepper__bell___Bacterial_spot/synth_006.jpg,Pepper__bell___Bacterial_spot,plant_2
vision/images/Pepper__bell___Bacterial_spot/synth_007.jpg,Pepper__bell___Bacterial_spot,plant_2
vision/images/Pepper__bell___Bacterial_spot/synth_008.jpg,Pepper__bell___Bacterial_spot,plant_2
vision/images/Pepper__bell___Bacterial_spot/synth_009.jpg,Pepper__bell___Bacterial_spot,plant_3
vision/images/Pepper__bell___healthy/synth_000.jpg,Pepper__bell___healthy,plant_0
vision/images/Pepper__bell___healthy/synth_001.jpg,Pepper__bell___healthy,plant_0
vision/images/Pepper__bell___healthy/synth_002.jpg,Pepper__bell___healthy,plant_0
vision/images/Pepper__bell___healthy/synth_003.jpg,Pepper__bell___healthy,plant_1
vision/images/Pepper__bell___healthy/synth_004.jpg,Pepper__bell___healthy,plant_1
vision/images/Pepper__bell___healthy/synth_005.jpg,Pepper__bell___healthy,plant_1
vision/images/Pepper__bell___healthy/synth_006.jpg,Pepper__bell___healthy,plant_2
vision/images/Pepper__bell___healthy/synth_007.jpg,Pepper__bell___healthy,plant_2
vision/images/Pepper__bell___healthy/synth_008.jpg,Pepper__bell___healthy,plant_2
vision/images/Pepper__bell___healthy/synth_009.jpg,Pepper__bell___healthy,plant_3
vision/images/Potato___Early_blight/synth_000.jpg,Potato___Early_blight,plant_0
vision/images/Potato___Early_blight/synth_001.jpg,Potato___Early_blight,plant_0
vision/images/Potato___Early_blight/synth_002.jpg,Potato___Early_blight,plant_0
vision/images/Potato___Early_blight/synth_003.jpg,Potato___Early_blight,plant_1
vision/images/Potato___Early_blight/synth_004.jpg,Potato___Early_blight,plant_1
vision/images/Potato___Early_blight/synth_005.jpg,Potato___Early_blight,plant_1
vision/images/Potato___Early_blight/synth_006.jpg,Potato___Early_blight,plant_2
vision/images/Potato___Early_blight/synth_007.jpg,Potato___Early_blight,plant_2
vision/images/Potato___Early_blight/synth_008.jpg,Potato___Early_blight,plant_2
vision/images/Potato___Early_blight/synth_009.jpg,Potato___Early_blight,plant_3
vision/images/Potato___Late_blight/synth_000.jpg,Potato___Late_blight,plant_0
vision/images/Potato___Late_blight/synth_001.jpg,Potato___Late_blight,plant_0
vision/images/Potato___Late_blight/synth_002.jpg,Potato___Late_blight,plant_0
vision/images/Potato___Late_blight/synth_003.jpg,Potato___Late_blight,plant_1
vision/images/Potato___Late_blight/synth_004.jpg,Potato___Late_blight,plant_1
vision/images/Potato___Late_blight/synth_005.jpg,Potato___Late_blight,plant_1
vision/images/Potato___Late_blight/synth_006.jpg,Potato___Late_blight,plant_2
vision/images/Potato___Late_blight/synth_007.jpg,Potato___Late_blight,plant_2
vision/images/Potato___Late_blight/synth_008.jpg,Potato___Late_blight,plant_2
vision/images/Potato___Late_blight/synth_009.jpg,Potato___Late_blight,plant_3
vision/images/Potato___healthy/synth_000.jpg,Potato___healthy,plant_0
vision/images/Potato___healthy/synth_001.jpg,Potato___healthy,plant_0
vision/images/Potato___healthy/synth_002.jpg,Potato___healthy,plant_0
vision/images/Potato___healthy/synth_003.jpg,Potato___healthy,plant_1
vision/images/Potato___healthy/synth_004.jpg,Potato___healthy,plant_1
vision/images/Potato___healthy/synth_005.jpg,Potato___healthy,plant_1
vision/images/Potato___healthy/synth_006.jpg,Potato___healthy,plant_2
